date,hour,time_block,purchase_bid_(mw),sell_bid_(mw),mcv_(mw),final_scheduled_volume_(mw),mcp_(rs/mwh)_*,imbalance,price_change,execution_ratio,start_time,timestamp
24-05-2026,1,00:00 - 00:15,30444.4,2099.4,2099.36,2099.36,10000.0,28345.0,,0.06895718095938826,00:00,2026-05-24 00:00:00
24-05-2026,1,00:15 - 00:30,29735.2,2136.0,2136.0,2136.0,10000.0,27599.2,0.0,0.07183405526110469,00:15,2026-05-24 00:15:00
24-05-2026,1,00:30 - 00:45,29557.9,2338.3,2338.3,2338.3,10000.0,27219.600000000002,0.0,0.07910913833526739,00:30,2026-05-24 00:30:00
24-05-2026,1,00:45 - 01:00,29389.4,2266.0,2266.0,2266.0,10000.0,27123.4,0.0,0.07710262883896915,00:45,2026-05-24 00:45:00
24-05-2026,2,01:00 - 01:15,27692.6,2328.5,2328.49,2328.49,10000.0,25364.1,0.0,0.08408347356333461,01:00,2026-05-24 01:00:00
24-05-2026,2,01:15 - 01:30,27520.6,2386.7,2386.7,2386.7,10000.0,25133.899999999998,0.0,0.08672412665421539,01:15,2026-05-24 01:15:00
24-05-2026,2,01:30 - 01:45,26009.5,2557.0,2557.0,2557.0,10000.0,23452.5,0.0,0.098310232799554,01:30,2026-05-24 01:30:00
24-05-2026,2,01:45 - 02:00,23920.5,2577.8,2577.8,2577.8,10000.0,21342.7,0.0,0.10776530590915742,01:45,2026-05-24 01:45:00
24-05-2026,3,02:00 - 02:15,22607.3,2808.8,2808.8,2808.8,10000.0,19798.5,0.0,0.12424305423469412,02:00,2026-05-24 02:00:00
24-05-2026,3,02:15 - 02:30,22460.9,2951.0,2950.99,2950.99,10000.0,19509.9,0.0,0.13138342630972044,02:15,2026-05-24 02:15:00
24-05-2026,3,02:30 - 02:45,21573.7,2939.4,2939.39,2939.39,10000.0,18634.3,0.0,0.13624876585842946,02:30,2026-05-24 02:30:00
24-05-2026,3,02:45 - 03:00,21688.1,3081.3,3081.3,3081.3,10000.0,18606.8,0.0,0.14207330287115977,02:45,2026-05-24 02:45:00
24-05-2026,4,03:00 - 03:15,21820.1,3389.8,3389.8,3389.8,10000.0,18430.3,0.0,0.1553521752879226,03:00,2026-05-24 03:00:00
24-05-2026,4,03:15 - 03:30,21694.5,3340.7,3340.69,3340.69,10000.0,18353.8,0.0,0.15398787711171033,03:15,2026-05-24 03:15:00
24-05-2026,4,03:30 - 03:45,21364.4,3315.8,3315.8,3315.8,10000.0,18048.600000000002,0.0,0.15520211192450992,03:30,2026-05-24 03:30:00
